Occurrence_Date,Occurrence_Time,Accident_Location,Weather,Road_Type_Main,Road_Type_Sub,Accident_Location_Type_Main,Accident_Location_Type_Sub,Cause_Judgment_Main,Cause_Judgment_Sub,Longitude,Latitude
20240829.0,101133.0,宜蘭縣宜蘭市國榮路附近 / 宜蘭縣宜蘭市健康路3段口,晴,交岔路,多岔路,交叉路口,交叉路口內,駕駛者,無號誌路口，支線道未讓幹線道先行,121.749368,24.752926
20240829.0,101133.0,宜蘭縣宜蘭市國榮路附近 / 宜蘭縣宜蘭市健康路3段口,晴,交岔路,多岔路,交叉路口,交叉路口內,駕駛者,無號誌路口，支線道未讓幹線道先行,121.749368,24.752926
20240829.0,163400.0,彰化縣彰化市中山路3段口 / 彰化縣彰化市彰南路1段口,晴,交岔路,多岔路,交叉路口,交叉路口內,駕駛者,闖紅燈直行,120.564947,24.088329
20240829.0,163400.0,彰化縣彰化市中山路3段口 / 彰化縣彰化市彰南路1段口,晴,交岔路,多岔路,交叉路口,交叉路口內,駕駛者,闖紅燈直行,120.564947,24.088329
20240829.0,185200.0,臺中市北屯區軍功里軍福十八路 / 臺中市北屯區軍功里軍榮二街,晴,交岔路,三岔路,其他,行人穿越道,駕駛者,車輛未依規定暫停讓行人先行,120.718795,24.178227
20240829.0,185200.0,臺中市北屯區軍功里軍福十八路 / 臺中市北屯區軍功里軍榮二街,晴,交岔路,三岔路,其他,行人穿越道,駕駛者,車輛未依規定暫停讓行人先行,120.718795,24.178227
20240830.0,1700.0,臺中市太平區長龍路二段前0.0公尺,晴,單路部分,彎曲路及附近,路段,一般車道(未劃分快慢車道),其他,相關跡證不足且無具體影像紀錄，當事人各執一詞，經分析後無法釐清肇事原因,120.762325,24.113635
20240830.0,1700.0,臺中市太平區長龍路二段前0.0公尺,晴,單路部分,彎曲路及附近,路段,一般車道(未劃分快慢車道),其他,相關跡證不足且無具體影像紀錄，當事人各執一詞，經分析後無法釐清肇事原因,120.762325,24.113635
20240830.0,10227.0,雲林縣東勢鄉東北村縣道153線與台78線交流道口,晴,交岔路,多岔路,交叉路口,交叉口附近,其他,相關跡證不足且無具體影像紀錄，當事人各執一詞，經分析後無法釐清肇事原因,120.254371,23.683517
20240830.0,10227.0,雲林縣東勢鄉東北村縣道153線與台78線交流道口,晴,交岔路,多岔路,交叉路口,交叉口附近,其他,相關跡證不足且無具體影像紀錄，當事人各執一詞，經分析後無法釐清肇事原因,120.254371,23.683517
20240830.0,12922.0,臺南市後壁區土溝里土溝40號之3,陰,交岔路,三岔路,交叉路口,交叉路口內,駕駛者,恍神、緊張、心不在焉分心駕駛,120.383819,23.372465
20240830.0,12922.0,臺南市後壁區土溝里土溝40號之3,陰,交岔路,三岔路,交叉路口,交叉路口內,駕駛者,恍神、緊張、心不在焉分心駕駛,120.383819,23.372465
20240830.0,51500.0,桃園市蘆竹區國道1號 52公里600.0公尺處北側向路肩,晴,單路部分,直路,路段,路肩、路緣,駕駛者,恍神、緊張、心不在焉分心駕駛,121.270002,25.01615
20240830.0,51500.0,桃園市蘆竹區國道1號 52公里600.0公尺處北側向路肩,晴,單路部分,直路,路段,路肩、路緣,駕駛者,恍神、緊張、心不在焉分心駕駛,121.270002,25.01615
20240830.0,94900.0,桃園市楊梅區青山里埔心牧場第一停車場斜對面(幼獅路一段439號),晴,單路部分,直路,路段,一般車道(未劃分快慢車道),駕駛者,變換車道不當,121.176125,24.925079
20240830.0,94900.0,桃園市楊梅區青山里埔心牧場第一停車場斜對面(幼獅路一段439號),晴,單路部分,直路,路段,一般車道(未劃分快慢車道),駕駛者,變換車道不當,121.176125,24.925079
20240830.0,105111.0,新竹市東區中華路二段199號,晴,單路部分,直路,路段,一般車道(未劃分快慢車道),駕駛者,恍神、緊張、心不在焉分心駕駛,120.979421,24.80693
20240830.0,105111.0,新竹市東區中華路二段199號,晴,單路部分,直路,路段,一般車道(未劃分快慢車道),駕駛者,恍神、緊張、心不在焉分心駕駛,120.979421,24.80693
20240830.0,135100.0,雲林縣東勢鄉復興村158縣道東向9.5公里處,晴,單路部分,直路,路段,慢車道,其他,其他不當駕車行為,120.275594,23.678251
20240830.0,135100.0,雲林縣東勢鄉復興村158縣道東向9.5公里處,晴,單路部分,直路,路段,慢車道,其他,其他不當駕車行為,120.275594,23.678251
20240830.0,135100.0,雲林縣東勢鄉復興村158縣道東向9.5公里處,晴,單路部分,直路,路段,慢車道,其他,其他不當駕車行為,120.275594,23.678251
20240830.0,142800.0,新北市土城區擺接堡路 / 新北市土城區員福街,晴,交岔路,三岔路,交叉路口,交叉路口內,駕駛者,闖紅燈直行,121.438912,24.981379
20240830.0,142800.0,新北市土城區擺接堡路 / 新北市土城區員福街,晴,交岔路,三岔路,交叉路口,交叉路口內,駕駛者,闖紅燈直行,121.438912,24.981379
20240830.0,162752.0,苗栗縣西湖鄉119縣道6.5公里處,晴,交岔路,三岔路,交叉路口,交叉路口內,駕駛者,未保持行車安全距離,120.755669,24.561366
20240830.0,162752.0,苗栗縣西湖鄉119縣道6.5公里處,晴,交岔路,三岔路,交叉路口,交叉路口內,駕駛者,未保持行車安全距離,120.755669,24.561366
20240830.0,194459.0,雲林縣麥寮鄉崙後村產業道路前0.0公尺,晴,交岔路,四岔路,交叉路口,交叉路口內,駕駛者,無號誌路口，左方車未讓右方車先行,120.281404,23.779501
20240830.0,194459.0,雲林縣麥寮鄉崙後村產業道路前0.0公尺,晴,交岔路,四岔路,交叉路口,交叉路口內,駕駛者,無號誌路口，左方車未讓右方車先行,120.281404,23.779501
20240830.0,194459.0,雲林縣麥寮鄉崙後村產業道路前0.0公尺,晴,交岔路,四岔路,交叉路口,交叉路口內,駕駛者,無號誌路口，左方車未讓右方車先行,120.281404,23.779501
20240831.0,94600.0,屏東縣萬丹鄉大學路448號前0.0公尺,晴,單路部分,直路,路段,快車道,駕駛者,迴轉未依規定,120.508074,22.594859
20240831.0,94600.0,屏東縣萬丹鄉大學路448號前0.0公尺,晴,單路部分,直路,路段,快車道,駕駛者,迴轉未依規定,120.508074,22.594859
20240831.0,193900.0,臺北市松山區復興北路地下道前0.0公尺,陰,單路部分,地下道,路段,一般車道(未劃分快慢車道),駕駛者,恍神、緊張、心不在焉分心駕駛,121.544228,25.069921
20240831.0,193900.0,臺北市松山區復興北路地下道前0.0公尺,陰,單路部分,地下道,路段,一般車道(未劃分快慢車道),駕駛者,恍神、緊張、心不在焉分心駕駛,121.544228,25.069921
20240831.0,193900.0,臺北市松山區復興北路地下道前0.0公尺,陰,單路部分,地下道,路段,一般車道(未劃分快慢車道),駕駛者,恍神、緊張、心不在焉分心駕駛,121.544228,25.069921
20240831.0,193900.0,臺北市松山區復興北路地下道前0.0公尺,陰,單路部分,地下道,路段,一般車道(未劃分快慢車道),駕駛者,恍神、緊張、心不在焉分心駕駛,121.544228,25.069921
20240831.0,212812.0,臺中市霧峰區國道6號 1公里800.0公尺處西側向外側,晴,單路部分,直路,路段,快車道,非駕駛者,其他引起事故之疏失或行為,120.705411,24.008687
20240831.0,212812.0,臺中市霧峰區國道6號 1公里800.0公尺處西側向外側,晴,單路部分,直路,路段,快車道,非駕駛者,其他引起事故之疏失或行為,120.705411,24.008687
20240831.0,212812.0,臺中市霧峰區國道6號 1公里800.0公尺處西側向外側,晴,單路部分,直路,路段,快車道,非駕駛者,其他引起事故之疏失或行為,120.705411,24.008687
20240831.0,234700.0,臺東縣東河鄉台23線 31公里800.0公尺處附近,晴,交岔路,三岔路,交叉路口,交叉路口內,其他,車輛或機械操作不當(慎),121.292862,23.035227
20240831.0,234700.0,臺東縣東河鄉台23線 31公里800.0公尺處附近,晴,交岔路,三岔路,交叉路口,交叉路口內,其他,車輛或機械操作不當(慎),121.292862,23.035227
